"TIME","GEO","CURRENCY","BOP_ITEM","SECTOR10","SECTPART","STK_FLOW","PARTNER","Value","Flag and Footnotes"
"2010","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","44,503.0",""
"2011","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","55,912.0",""
"2012","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","66,701.0",""
"2013","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","64,403.0",""
"2014","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","56,934.0",""
"2015","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","43,494.0",""
"2016","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","57,144.0",""
"2017","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","79,920.0",""
"2018","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","83,914.0",""
"2019","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","76,189.0",""
"2020","Netherlands","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","55,831.0",""
"1989","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-5,051.0",""
"1996","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-5,181.0",""
"1997","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-4,805.0",""
"1998","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,637.0",""
"1999","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-4,609.0",""
"2000","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,508.0",""
"2001","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,756.0",""
"2002","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","4,767.0",""
"2003","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","3,590.0",""
"2004","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","5,031.0",""
"2005","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","5,738.0",""
"2006","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","8,824.0",""
"2007","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","10,798.0",""
"2008","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","13,190.0",""
"2009","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","7,479.0",""
"2010","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","8,447.0",""
"2011","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","5,057.0",""
"2012","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","4,725.0",""
"2013","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","6,294.0",""
"2014","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","8,242.0",""
"2015","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","5,940.0",""
"2016","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","9,742.0",""
"2017","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","5,076.0",""
"2018","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","3,485.0",""
"2019","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","8,316.0",""
"2020","Austria","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","7,203.0",""
"1989","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2000","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2001","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2002","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2003","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2004","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-11,822.0",""
"2005","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-7,146.9",""
"2006","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-11,814.0",""
"2007","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-20,879.7",""
"2008","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-25,420.9",""
"2009","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-13,148.6",""
"2010","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-20,079.6",""
"2011","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-20,359.3",""
"2012","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-15,688.0",""
"2013","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-7,078.4",""
"2014","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-10,606.5",""
"2015","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,918.6",""
"2016","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,381.1",""
"2017","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,644.4",""
"2018","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-6,513.0",""
"2019","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,519.6",""
"2020","Poland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","15,292.6",""
"1989","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-4,263.0",""
"1997","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-6,322.0",""
"1998","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-8,410.0",""
"1999","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-10,606.0",""
"2000","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-13,864.0",""
"2001","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-14,188.0",""
"2002","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-11,950.0",""
"2003","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-9,690.0",""
"2004","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-12,115.0",""
"2005","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-15,198.0",""
"2006","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-17,059.0",""
"2007","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-16,880.0",""
"2008","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-21,193.0",""
"2009","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-18,056.0",""
"2010","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-18,421.0",""
"2011","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-10,527.0",""
"2012","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,715.0",""
"2013","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,789.0",""
"2014","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","274.0",""
"2015","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","414.0",""
"2016","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,186.0",""
"2017","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,537.0",""
"2018","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,137.0",""
"2019","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","933.0",""
"2020","Portugal","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,221.0",""
"1989","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,390.8",""
"2000","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,527.4",""
"2001","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,518.9",""
"2002","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,653.3",""
"2003","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,086.5",""
"2004","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-5,120.9",""
"2005","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-6,920.9",""
"2006","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-10,297.2",""
"2007","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-17,340.3",""
"2008","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-16,811.7",""
"2009","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-5,843.1",""
"2010","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-6,674.8",""
"2011","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-6,696.8",""
"2012","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-6,586.7",""
"2013","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,355.3",""
"2014","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-390.7",""
"2015","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,291.8",""
"2016","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,689.1",""
"2017","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-5,839.6",""
"2018","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-9,497.1",""
"2019","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-10,905.9",""
"2020","Romania","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-10,969.6",""
"1989","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","473.0",""
"1995","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-74.0",""
"1996","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","12.0",""
"1997","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","21.0",""
"1998","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-132.0",""
"1999","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-692.0",""
"2000","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-610.0",""
"2001","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","7.0",""
"2002","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","216.0",""
"2003","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-215.0",""
"2004","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-747.0",""
"2005","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-524.0",""
"2006","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-580.0",""
"2007","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,451.0",""
"2008","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,018.0",""
"2009","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-392.0",""
"2010","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-279.4",""
"2011","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-309.9",""
"2012","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","469.7",""
"2013","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,203.0",""
"2014","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,918.3",""
"2015","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,483.0",""
"2016","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,931.8",""
"2017","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,674.2",""
"2018","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,730.9",""
"2019","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,897.9",""
"2020","Slovenia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","3,462.4",""
"1989","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1996","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1997","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1998","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1999","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2000","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2001","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2002","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2003","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"2004","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,518.6",""
"2005","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-4,178.7",""
"2006","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-4,312.1",""
"2007","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,302.5",""
"2008","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-4,262.1",""
"2009","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,207.1",""
"2010","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,183.5",""
"2011","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,497.0",""
"2012","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","683.7",""
"2013","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,378.9",""
"2014","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","870.5",""
"2015","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,668.8",""
"2016","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,221.2",""
"2017","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,618.2",""
"2018","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,973.1",""
"2019","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,162.7",""
"2020","Slovakia","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","105.0",""
"1989","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","4,093.2",""
"1996","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","3,935.5",""
"1997","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","5,704.3",""
"1998","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","6,163.0",""
"1999","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","6,566.6",""
"2000","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","10,284.4",""
"2001","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","11,641.3",""
"2002","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","12,194.6",""
"2003","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","7,036.2",""
"2004","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","9,161.5",""
"2005","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","5,013.1",""
"2006","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","6,797.0",""
"2007","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","7,535.0",""
"2008","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","4,940.0",""
"2009","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","3,629.0",""
"2010","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,803.0",""
"2011","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,851.0",""
"2012","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-4,130.0",""
"2013","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,671.0",""
"2014","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,757.0",""
"2015","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,982.0",""
"2016","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-4,348.0",""
"2017","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,815.0",""
"2018","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-4,307.0",""
"2019","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-748.0",""
"2020","Finland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,984.0",""
"1989","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,810.2",""
"1990","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-4,890.7",""
"1991","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,801.1",""
"1992","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-5,726.5",""
"1993","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,222.2",""
"1994","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","2,006.6",""
"1995","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","6,413.8",""
"1996","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","7,559.5",""
"1997","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","9,113.2",""
"1998","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","8,660.2",""
"1999","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","10,000.3",""
"2000","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","11,143.0",""
"2001","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","12,671.0",""
"2002","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","12,572.8",""
"2003","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","17,288.6",""
"2004","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","18,459.8",""
"2005","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","18,959.0",""
"2006","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","27,465.9",""
"2007","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","29,137.9",""
"2008","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","27,711.2",""
"2009","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","18,651.7",""
"2010","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","22,014.8",""
"2011","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","22,572.4",""
"2012","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","23,676.3",""
"2013","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","23,124.0",""
"2014","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","18,504.2",""
"2015","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","15,096.6",""
"2016","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","11,061.5",""
"2017","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","14,158.3",""
"2018","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","12,395.9",""
"2019","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","26,046.6",""
"2020","Sweden","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","27,069.0",""
"1989","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1993","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1994","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1995","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","10.2",""
"1996","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-143.5",""
"1997","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-157.4",""
"1998","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-546.0",""
"1999","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-599.7",""
"2000","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-994.3",""
"2001","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-417.3",""
"2002","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","121.1",""
"2003","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-489.0",""
"2004","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-1,121.0",""
"2005","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,156.9",""
"2006","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-3,170.3",""
"2007","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,144.1",""
"2008","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-2,663.1",""
"2009","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-872.3",""
"2010","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-642.7",""
"2011","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-522.7",""
"2012","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","-392.8",""
"2013","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","758.4",""
"2014","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","595.4",""
"2015","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","890.0",""
"2016","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,549.7",""
"2017","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","914.1",""
"2018","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","795.0",""
"2019","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","1,293.2",""
"2020","Iceland","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world","174.6",""
"1989","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1990","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1991","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
"1992","Norway","Million euro","Current account","Total economy","Total economy","Balance","Rest of the world",":",""
